Jeffrey Holliday	The goal of this paper was to document how native (L1) speakers of a language with a two-way stop contrast acquire a three-way stop contrast in a second language (L2). Mandarin presents a two-way stop contrast cued primarily by VOT, whereas Korean presents a three-way stop contrast cued jointly by VOT and the ID of the following vowel. Mandarin and Korean stop productions from 12 L1 Mandarin novice L2 learners of Korean were subjected to acoustic analysis. Results revealed a wide variety of production patterns, suggesting that the learning of an L2 contrast may not always be predicted by cross-language acoustic correspondences. Six of the participants were recorded again both six and 12 months later. The longitudinal results showed that some learners were unable to produce the Korean contrast in a native-like way even after one year of intensive L2 instruction. Learners whose initial production strategy was consistent but incorrect fared worse after one year than learners whose productions initially exhibited more variability. These results contribute to our understanding of both the L2 acquisition of "new" and "similar" categories and also how well naive perceptual assimilation can predict L2 production. (C) 2015 Elsevier Ltd. All rights reserved.
Jeffrey Holliday	
Jeffrey Holliday	This article presents K-SPAN (Korean Surface Phonetics and Neighborhoods), a database of surface phonetic forms and several measures of phonological neighborhood density for 63,836 Korean words. Currently publicly available Korean corpora are limited by the fact that they only provide orthographic representations in Hangeul, which is problematic since phonetic forms in Korean cannot be reliably predicted from orthographic forms. We describe the method used to derive the surface phonetic forms from a publicly available orthographic corpus of Korean, and report on several statistics calculated using this database; namely, segment unigram frequencies, which are compared to previously reported results, along with segment-based and syllable-based neighborhood density statistics for three types of representation: an "orthographic" form, which is a quasi-phonological representation, a "conservative" form, which maintains all known contrasts, and a "modern" form, which represents the pronunciation of contemporary Seoul Korean. These representations are rendered in an ASCII-encoded scheme, which allows users to query the corpus without having to read Korean orthography, and permits the calculation of a wide range of phonological measures.
Jeffrey Holliday	Purpose: Four measures of children's developing robustness of phonological contrast were compared to see how they correlated with age, vocabulary size, and adult listeners' correctness ratings. Method: Word-initial sibilant fricative productions from eighty-one 2- to 5-year-old children and 20 adults were phonetically transcribed and acoustically analyzed. Four measures of robustness of contrast were calculated for each speaker on the basis of the centroid frequency measured from each fricative token. Productions that were transcribed as correct from different children were then used as stimuli in a perception experiment in which adult listeners rated the goodness of each production. Results: Results showed that the degree of category overlap, quantified as the percentage of a child's productions whose category could be correctly predicted from the output of a mixed-effects logistic regression model, was the measure that correlated best with listeners' goodness judgments. Conclusions: Even when children's productions have been transcribed as correct, adult listeners are sensitive to within-category variation quantified by the child's degree of category overlap. Further research is needed to explore the relationship between the age of a child and adults' sensitivity to different types of within-category variation in children's speech.
Jeffrey Holliday	Background/Aims: Many studies have shown that experienced second language (L2) learners are more skilled than novice L2 learners at a variety of L2 tasks, including auditory discrimination between members of L2 phonological contrasts. In this paper we argued that while L2 experience is typically beneficial when comparing the effects of more versus less experience, it is not necessarily beneficial when comparing the effects of some experience versus none. Methods: We compared the perceptual assimilation and discrimination of the Korean sibilant fricatives /s(h)/ and /s*/ by 3 native Mandarin populations: naive listeners, novice L2 learners (4-6 weeks of experience), and advanced L2 learners (over 2 years of experience). Results: The perceptual assimilation of /s(h)/ changed as a result of L2 experience, but only in the /a/ context. It is also shown that novice L2 learners were less accurate than the naive listeners at discriminating between /s(h)/ and /s*/ but, crucially, only in the /a/ context. Conclusion: The perception of /s(h)/ by L2 learners may be affected by knowledge of the L2 unavailable to naive listeners, and some aspects of this knowledge may result in a decline in discrimination accuracy after even a very short period of L2 experience. (C) 2016 S. Karger AG, Basel
Jeffrey Holliday	Previous studies have shown that non-native speakers of Korean not only have difficulty producing the word-initial three-way stop contrast, but also exhibit a wide range of production patterns. Because these studies have only investigated native (L1) speakers of English and Mandarin and given the overall paucity of research on non-native Korean, it is not yet clear how dependent these findings are on the particular native language under investigation. The current paper reinforces our empirical grounding via extension to L1 speakers of Japanese. It is shown that although naive Japanese listeners consistently perceive Korean fortis stops as voiced, and Korean lenis and aspirated stops as voiceless, novice second language learners do not produce any significant difference among the three stop categories, despite producing clear differences between their native Japanese stop categories. Unlike in previous studies of L1 speakers of English and Mandarin, there was very little inter-speaker variation, and all speakers produced all Korean stops with long lag voice onset time.
Jeffrey Holliday	The current study reports the results of a perception experiment in which 20 naive native Mandarin listeners classified and rated the goodness of Korean stops /p, t, k, p(h), t(h), k(h), p*, t*, k*/, affricates /t(sic), t(sic)*, t(sic)(h)/, and fricatives /s(h), s*/ in terms of Mandarin segmental categories. It was found that listeners were sensitive to the voice onset time dimension of Korean stops and the presence of aspiration in Korean affricates, but Korean lenis and aspirated obstruents were generally assimilated to a single Mandarin category because the f0 cue differentiating them is not relevant to any Mandarin segmental contrast. The affricates were perceived as alveolopalatal and postalveolar more often than alveolar. The perception of fricatives was strongly influenced by vowel context, as the two fricatives were often perceived as different categories before /a/, but as the same category more often before /i/ and /u/. The results for the affricates and fricatives may be partly explained by Mandarin phonotactic constraints that prohibit alveolar and postalveolar consonants before /i/ and alveolopalatal consonants before /a/ or /u/. (C) 2014 Acoustical Society of America.
강헌국	Yi-Kwangsu designs the theory that makes the concept of love be subjected tothe concept of enlightment in Mujung and his early essays. But love which is aprivate emotion cannot harmony with enlightment. Enlightment is a public obligation.Those two are easy to conflict each other. Such a conflict is observed after Mujung.In order to show what kind of change has been happened in the relation betweenlove and enlightment after Mujung, Gaechukja and Jaesaeng are discussed in thisthesis. In Gaechukja love treads on the road of farewell from enlightment. Loveconfirms that it is not a tool of enlightment but a purely private emotion. The stepsof love since it parted from enlightment, can be traced in Jaesaeng. With partingfrom enligntment love becomes free from enlightment’s moral control. So love isdefenselessly exposed to the seduction of money and sex. The social trend ofmamonism distorts love to an item which can be dealed with money. But love searchesfor a new value in the middle of such seduction. Love for mankind is the newvalue which the hero of Jaesaeng has been arrived from a long and deep meditation.As a result of that meditation, love breaks away a private emotion, and sublimateitself an idea. Ideal love is so sublime that it can contain enlightment. The relationbetween love and enlightment is reversed to that of Mujung.
강헌국	This study takes note of the conflict between Kim Dong-in’s methodology and his writing which is discovered in The Sadness of a Frailty (약한 자의 슬픔) and Hey, a Thin Heart (마음이 옅은 자여). To understand the cause of the conflict, I investigate the structure of his creation methodology. And then I trace the alteration made in his methodology with the relation of his 1920’s short stories.Kim Doing-in’s creation methodology which is used in The Sadness and Hey, , is composed with three kinds. They are the skill of manipulating puppets, internal focalization, and confession style. I find, the confession style makes trouble with other two kinds. The correctness of my discovery is verified with the fact that he dose not use it any more after The Sadness and Hey, .Aborting the confession style, Kim Dong-in chooses another method. It is the multi-layers structure. He thinks, layering narrative levels may frame a world independent from real world and protect the contents of that independent world from the inquisition of reality. With the help of multi-layers structure, the skill of manipulating puppets could be used freely in the view of him. A Song of Sailing (배따라기) and A Sonata of Crazy Fire are successful cases which he makes with the use of multi-layers structure. But The multi-layers structure does not always make such a good result.Except using multi-layers structure, Kim Dong-in’s writing have to face with real world. There is not a barrier to cut the inquisition of reality. In the point of view of Realism, the reality of novel is achieved by representing real world. But he always believes that reality can be created by artistic skill. His creation of reality sometimes meets to the reality of outside world by chance. Lashing (태형) and Potato (감자) are such happy cases. The success of the two text again confirms that Realism is the essence of novel.
강헌국	Kim Yoo-jung proceeds his writing in the state that he accepts money as an undeniable condition of life. So the concern for money can be found from all of his novellas. The catch of that feature makes me project this thesis. I investigate how money is expressed in his texts, and then I discuss the narrative function and effect of money in his texts. Money is showed by way of ‘correctly declared value’, ‘calculation’, and ‘deal’. Those three expression modes of money are related to the modern capitalism in which money becomes the governing value over the reality. The position of money in his texts does not end there. Money is actively included in the process of creating narrative discourse. The arrangement of characters is centered on money. The narrative started from deficiency of money, goes through of questing money, and aims at taking money. Prostitution, gamble, and gold-rush are the choices in the course of the questing money. Those choices go against the spirit of the modern capitalism because they are irrational. Therefore he can be said to have double attitude to the modern capitalism. On the one hand, he describes vividly the modern capitalism with the phenomena of money. But on the other hand, he deviates from the spirit of the modern capitalism taking irrational process of questing money. Such a double attitude of him is originated from the Japanese colonial system. Making profit and accumulating wealth in rational way are impossible under that system. Money is the clue to help him to understand correctly Japanese colonial system, and it is also a chance of hope for him. In the state that he accepts money as an undeniable condition of life, the only way he can seek is to use money in humane way.As he can not renounce the hope to the end, he wants to find hunan face in money.
강헌국	Humanity has not received much attention by the researchers whowere interested in Yi Kwangsu’s thought and literature. Humanityappears in Jaesaeng for the first time in the developing process of YiKwangsu’s novel. The existing studies understood that concept as anone-time phenomenon or another face of enlightenment. But I getdifferent position to those existing studies and regard the humanity inJaesaeng as the climax at which Yi Kwangsu arrives. The thought ofYi Kwangsu which has progressed in upward direction surpassesnationality and flies to the level of mankind through Jaesaeng. Thehumanity of Yi Kwangsu may not be explained with enlightenmentbecause the concept of mankind is different from that of nationality.The composition of thought which crowns humanity, could havesome difficulty to process love as a private emotion. It is seemed thatYujeong and Sarang are the products of the trouble which Yi Kwangsuhas underwent to arrange the position of love to humanity. In Yujeong,the problem of desire which can be motive power of love, isexhaustively considered. The avenue to humanity is sought with thatconsideration. But Yi Kwangsu just confirms the violent reality ofdesire instead of finding that avenue. The experience in the creation ofYujeong has an effect Yi Kwangsu in the writing of Sarang, so heaccepts humanity as an axiom. He does not try to arrange the relationbetween love and humanity any more. The narrative of Sarang isstructured like a process of demonstration which shows the meaningand value of humanity, and the problem of desire is concealed oravoided in the course of that narrative.The demonstration which is made in Sarang, dose not aim at thesalvation of mankind. It just confirms the superiority and sanctity ofthe disciples who serve the ideology of humanity. And the intention ofthe disciples who despise and banish those humble and inferior beings,secretly hides behind the demonstration. Therefore the humanity canbe connected with the survival of the fittest of imperialism. Is theavenue to the pro-Japanese made by such a process in Yi Kwangsu’sliterature?
강헌국	The proposition of this study is that An essay of nation reformation(「민족개조론」, from now on, this essay will be called as an abbreviation form like this, An essay ) is related to Soil(「흙」) as a project to a practice. From that proposition, this study examined the realizability of An essay, and then the result of that examination is compared to Soil’s narrative part of enlightenment.The main three proposals in An essay which are required for nation reformation, are a long time, a pan-nation organization, and non-political stance. But those proposals paradoxically confirm only the impossibility of nation reformation under Japanese colony. Those proposal could be realized, if all condition is amicable. But Japanese colonial government wouldn’t like to give such a condition.It is seemed that Lee Kwang-su wrote Soil with intend to examine the possibility of nation reformation in the situation of novel. Soil reconstructs the reality of Japanese colonial age as a battlefield of self-interests, and it is hard to make nation reformation in such a situation. Huh Sung who is embodied as a saint in Soil is a maximum and limit level to stand against to the negative reality. But Huh Sung as a saint is helpless in front of the evil in reality, because Japanese colonial rule lurks behind such evil. Soil also confirm the impossibility of nation reformation suggested in An Essay.
강헌국	In his ‘early trilogy’, Yeom sang-sup practiced confession style by expressing the subjective feelings of the textual self. However, his novel attention has shifted towards objectivity since Manseijeon. In the preceding study, the changes between the early trilogy and Manseijeon were defined as either a break or a fault. This paper noted the point and discussed that the change realized the potentialities that were implicit in his early trilogy.Yeom Sang-sup’s realistic writing style which was made after his early trilogy sought objectivity across facts and meanings. Facts were faithfully reproduced and meaning was logically developed. Between fact and meaning, the former was valued. It was his tenacious attitude as a realist that no faith or value takes precedence over facts.Manipulation or transformation of facts for some purpose was not acceptable to him. Although the meaning formed by a narrative description was universal in itself, in most cases, it was relativized in the reality of text. In his view, the objective reality was cold-hearted and harsh, to the extent that it was impossible to realize universal value or ethics.Yeom Sang-seop tried to humble himself before the fact enough to retain the essential value. He was unable to stick to a particular position politically because he wanted to faithfully reproduce the multifaceted and multi-layered reality. That is why his political position is not clearly defined.
강헌국	Hwang Soon-won started his literary career as a poet. He had run twenty two poems on literary journals and issued two collections of poems before publishing his first short story. His career as a poet has been taken importantly by the researches which studied his short stories. As a result of such an interest, many papers have insisted that lyricism is an individual characteristic of his short stories. But lyrical character is not appropriated by his short stories. Short story as a genre generally contains lyricism. So those papers made a mistake that took a general matter as a special. I project this paper from critical review to those papers. And I propose ‘magical transcendence’ and ‘pictorial narrative’ as two characteristics of his short stories.The magical effect of folktale functions as an main structural element in his short stories. In the case of any folktale not to be cited, the magical effect as an episode or a constituting principle, serves to narrative. some characters in his short stories, regard a real experience as a magical phenomenon, try to transcend torment of real life with the help of magic. In some cases, the narrative of his text are plotted according to the process of magical rite. Magical transcendence is the name which this paper use to call such phenomena. The technique which substitutes impressive scene for narration, is frequently used in his short stories. I I call pictorial narrative the phenomenon that narrative process converges to such a scene.Lyricism is difficult to be used in an objective copy to reality, because it tends to head for subject. Hwang Soon-won’s short stories are no exception for this problem of realism. He copies not objective reality but the characters’ subjective attitude to the reality. The attitude goes from humanitarianism and endurance to nihilism.
강헌국	This paper examined the reasons why Kim Dong-in chose to write historical novels in the 1930s in the internal development of his creative methodology. The preceding studies indicated his poverty as the reason and then stopped further discussion. This paper argues that besides such an extrinsic reason, there had already been an movement toward historical novel in his creative methodology. His creative methodology, which is commonly referred to as the skill of manipulating puppets, got the framed structure in the course of his 1920s short stories. The function of testimony which the external story of framed structure has, has an effect to confirm the reality of the internal story. He judged that he could freely use the skill of manipulating puppets in internal story with the help of the external story’s testimony. However, the overconfidence and abuse of the framed structure also led to negative consequences which destructed the reality of the work.When the framed structure caused no small problems in Kim Dong-in’s writing, historical novel emerged as a new horizon for the skill of manipulating puppets. For him, the historical novel was understood from the point of the framed structure. He believed that if history, which exists with public records and official knowledge, functions as a witness in a external story, he could be guaranteed to get reality no matter what story he told in historical novel as the internal story. Of course, the minimum provision for proof that it did not damage history had to be complied with. He tried to realize his ‘True Art(참예술)’ which considered creation to be the greatest virtue, in historical novel by freely practicing the skill of manipulating puppets. In The Youngers(젊은 그들) he used history as an excuse, and in The Spring of Unhyeon Palace(운현궁의 봄) and The Great Sooyang(대수양) he claimed his own subjective recognition of history. However, it is confirmed from the preceding studies that Kim Dong-in's historical novels did not achieve the results he expected in the first place. It was hard to get positive reviews for a historical novel that went out of history. The historical novels by Kim Dong-in, who started from history, is aimed at refusing to be contained in history. Creative aspirations have led his historical novel out of history.
권보드래	The March 1st Movement has been interpreted from nationalist viewpoint. This essay is an attempt to read the Movement as an explosion of a variety of discontents and yearnings. From an issues of taxation and compulsory labor to inequality problems for education and employment, a range and content of discontents was diverse. The masses in the March 1st Movement exclaimed “Mansei”[Long live, Hurray] and grasped flags in their hands, but what did “Mansei” mean and what did flags represent? I researched many cases of uprising across regions and classes, then I found out that taegukgi, a national flag of old Daehan empire was limited and replaced although it governed the people as a representative flag, and that “Mansei” was not only an abbreviation of “Masei of a national independence”, but also an explosion of an intimidated self and community toward the world. The March 1st Movement resonated idealism after the World War Ⅰ, and moreover, the people of the Movement demanded a right to participate the global discussion about “what the world should be” and asked the world a march for the reformation. The March 1st Movement marked a utopian moment where a self, community, nation, and the world integrated for a better world with prophetic enthusiasm.
권보드래	This paper is a suggestion to read Choi In-hoon's The Square as a P.O.W. narrative. P.O.W., Prisoner of War of Korean war has drawn a lot of attention these days, since the cold war regime is facing the end even on Korean peninsula, and the cold war archives have opened to researchers in the age of openness. Literature of P.O.W., covering a range from memoirs of former P.O.W. themselves to the 21st century novels, have been collected and studied under such a new light. The Square, a product of April Uprising in 1960, casts a P.O.W. hero who experienced both South and North Korea but chose to go to a neutral country at the end. Such a denial or evasion from a forced alternative between the divided native lands impressed a lot of contemporaries, and an idea of neutrality, though the meaning of neutrality is restricted to neutrality in Korean War, moved many young intellectuals.The narrative of The Square is based on the reality of seventy six P.O.W.s who prefer neutral countries over two Koreas. Such a preference became possible when a new principle for war and P.O.W. on human rights presupposition was suggested. The core of new principle was voluntary repatriation policy, which contrasted with forcible repatriation that Geneva Convention of 1949 prescribed, and it signaled a new stage of ideological competition on war and peace. A variety of P.O.W. narratives can be read as a variety of responses to make respective definition of war, peace, and P.O.W. against those new circumstances.The peculiarity of The Square comes from the fact that it refuses naive realism for Korean War and P.O.W. It actively responses to new concepts of war and peace and ventures to find an exit from division system of Korea; nevertheless, it challenges to the division system by placing the cruel reality of Korean War aside. Yi Myung-joon, the hero of The Square, rarely tells his own war experience, instead he covers up Korean War actualities with his reflection and abstraction. The writer Choi In-hoon managed to change a direction of Korean literature to face grand issues such as universe, world, nation, and history by taking a strategy of suppressing firsthand memories. It is why The Square is so distinct in comparison with other Korean War or P.O.W. literature, and how The Square could endure days of developmental dictatorship as a text of neutrality.
권보드래	The March 1st Movement, although it had not been explored thoroughly during the colonial period, was a hidden focus of literary testimonies and symptoms. The main actors on the early stage of modern Korean literature, who were born around 1900, participated in and influenced by the Movement, and it entailed the life-long traces. The March 1st Movement, which spreaded widely by a rumor of impending or even realized independence, was a calling and requirement of reformation on the national and global scale, but ended with violence, imprisonment, and death. Therefore, how to memorize and interpret the experience of Movement was a pivotal issue in shaping the lives afterwards. Yi Kwangsu exemplified a path of negation and restart in that scandalous "Reformation of the Nation" and a novel Regeneration, while Kim Dongin buried the Movement as a non-existent event, and Shim Hun suggested the March 1st Movement as a learning curve to socialism. Yeom Sangseop posited himself on a peculiar position, which questioned the Movement and placed it as an endless source of inquiries.
권보드래	Kim U-chin, a playwright of the 1920s who had passed away before arrivinga glory as a literati, was a son of a new technocrat of the last days in Chos ndynasty, Kim S ng-kyu. Both of them, failing to acquiring statuses of real representativefigures of their days until now, still remain as the problematic individuals whoincarnate their contemporary times through their unique worldviews and experiencesrespectively. Their relationship is particularly interesting. Kim S ng-kyu as a secondaryson of wealthy renowned family, made his way into the world by adapting himselfto changing world through modern knowledge and technologies. He also receivedideologies of patriotism and ‘wealthy nation, strong army’ doctrine, but orientedhimself toward the family value alone after Chos n's annexation to Japan in 1910.His competence as a technology-oriented official and his devotion to the familyrecognition produced a typical yet still unique amalgam, which was forced uponhis descendents. Kim U-chin, the eldest son of Kim S ng-kyu, understood his fatherbut struggled to go beyond father's influence and create his own world. This sceneis even more problematic when it was overlapped with the collective experiencearound the March 1st Movement. Kim Uchin's way in a setting of generationalconflict, which could be named as ‘overcoming’ instead of simple ‘negation’, however,ended in his untimely death.
권보드래	This article is to survey the traces of Danish critic Georg Brandes in the 1910s Korea. Brandes was a devoted intellectual to circulate national cultures and to encourage a progress of freedom and culture in European world. He introduced Scandinavian philosophers and writers such as S. Kierkegaard, H. Ibsen, A. Strindberg to other parts of Europe, and reinvented F. Nietzche to be accepted to the reading public, and made Russian and Polish literature be respected and understood. At the same time, he challenged to the old idealism and conservatism of Scandinavian countries, and led ‘Modern breakthrough’ in Northern Europe. His representative works, Main Currents of Nineteenth Century, Impressions of Russia, Poland: A Study of the Land, People, and Literature, were translated into Japanese in the 1910s, and deeply influenced on young Japanese intellectuals who later worked as cultural mediators of the West to Korea. Nakajawa Rinsen in Japan and Lu Xun in China exemplified Brandes’ arrival to East Asia, and Korean intellectuals participated in such a field of cultural exchange as readers or coproducers.
권보드래	It was in the late 1950s when Lin Yutang acquired a reputation in Korea. The beginning was The Importance of Living. This book, which was originally published in English in the year of 1937, enjoyed a real popularity and acquired a wide readership among Koreans in the 1960s. It was a belated popularity. Lin Yutang's stance was of such a determined liberalist during the wartime that Koreans under Japanese rule hardly had an opportunity to encounter his writings, and after Liberation, Koreans’ preferred liberalist position was not Lin Yutang’s but Edgar Snow’s, who suggested that Chinese communist party was based on radical democracy rather than Marx-Leninist orthodox communism.Lin Yutang, the best known Chinese intellectual among Westerners from the 1930s through the 1950s, had never inclined to communist ideal for his whole life. He understood communism, whether its origin was Western or non-Western, to be identified with totalitarianism, and he did not allow a thinking that overwhelmed the intellectual world during World War Ⅱ of equation and solidarity was necessary as well as possible for democracy and communism. He defends the value of living itself in Importance of Living against ideological pursuit, and suggested freedom and pleasure as the supreme values. It is to be said that such emphasis on freedom and happiness as anti-communist strategy made Lin Yutang popular in Korea, but at the same time, is also to be said that there lied an ironical and secret interests for communist China behind his popularity.
김기형	Ppaengpa-jeon is a modern recreated piece of popular art which is based on the classic, still performing consistently and vigorously. It has been supported by the general public and performed with different kinds of genre such as chang-geuk, yeoseong-gukgeuk, madang-nori, madang-geuk and so on.By the impromptu line, dance and scintillating song, Ppaengpa-jeon receives fervent response from the public. It has performed more than 120 times from 1987 to 2011. Ppaengpa-jeon also has many kinds of main agents and performance spaces. Including the master singer of pansori, actors of traveling theater and madang-nori work on positive lines as main agents of performance. One of them who is good at humorous motion and dramatic expression usually takes the role as ppaengpa. Not only an indoor theater but also the space of festival, national holiday and function are used as the performance space.Ppaengpa-jeon casts the serious consideration on the questions how much traditional art -including recreated piece of art- has the meaning and value in the modern time and space. If traditional art relies on the preservation with the protection of institutional strategy and settles for present, it would lose its footing. Ppaengpa-jeon was able to be the independent piece of art because it kept its life by interaction with the public. Ppaengpa-jeon which is based on the pansori simcheong-ga passed through the specific way of performance named tomakgeuk, and finally it became one of the indoor theater repertories since the gonggansarang performance in 1987.Ppaengpa-jeon is a popular art itself because it consists of familiar narrative with public. For it touches the secular desire of public inner side directly by a vein of humor, it could become very famous. Ppaengpa-jeon shows human nature plainly which is distorted by power of capital.
